freq_hz,step_horiz_dB,step_mean_dB,shelf_correction_dB,net_corrected_dB
20.0000,19.1924,18.1901,5.9876,24.1778
20.1156,19.1425,18.1403,5.9875,24.1278
20.2318,19.0926,18.0904,5.9874,24.0778
20.3487,19.0427,18.0406,5.9872,24.0278
20.4663,18.9928,17.9908,5.9871,23.9778
20.5845,18.9429,17.9409,5.9869,23.9278
20.7034,18.8930,17.8911,5.9868,23.8778
20.8231,18.8432,17.8412,5.9866,23.8278
20.9434,18.7933,17.7914,5.9865,23.7779
21.0644,18.7434,17.7416,5.9863,23.7279
21.1861,18.6935,17.6917,5.9861,23.6779
21.3085,18.6437,17.6419,5.9860,23.6279
21.4316,18.5938,17.5921,5.9858,23.5779
21.5555,18.5439,17.5423,5.9857,23.5279
21.6800,18.4941,17.4924,5.9855,23.4779
21.8053,18.4442,17.4426,5.9853,23.4279
21.9312,18.3943,17.3928,5.9852,23.3780
22.0580,18.3445,17.3430,5.9850,23.3280
22.1854,18.2946,17.2932,5.9848,23.2780
22.3136,18.2448,17.2434,5.9846,23.2280
22.4425,18.1949,17.1936,5.9845,23.1780
22.5722,18.1451,17.1438,5.9843,23.1281
22.7026,18.0952,17.0940,5.9841,23.0781
22.8338,18.0454,17.0442,5.9839,23.0281
22.9657,17.9955,16.9944,5.9837,22.9781
23.0984,17.9457,16.9446,5.9835,22.9281
23.2319,17.8958,16.8948,5.9833,22.8782
23.3661,17.8460,16.8450,5.9832,22.8282
23.5011,17.7962,16.7952,5.9830,22.7782
23.6369,17.7463,16.7455,5.9828,22.7282
23.7735,17.6965,16.6957,5.9826,22.6783
23.9108,17.6467,16.6459,5.9824,22.6283
24.0490,17.5968,16.5961,5.9822,22.5783
24.1879,17.5470,16.5464,5.9820,22.5283
24.3277,17.4972,16.4966,5.9817,22.4784
24.4683,17.4474,16.4469,5.9815,22.4284
24.6096,17.3976,16.3971,5.9813,22.3784
24.7518,17.3478,16.3473,5.9811,22.3285
24.8948,17.2979,16.2976,5.9809,22.2785
25.0387,17.2481,16.2479,5.9807,22.2285
25.1833,17.1983,16.1981,5.9804,22.1786
25.3289,17.1485,16.1484,5.9802,22.1286
25.4752,17.0987,16.0986,5.9800,22.0786
25.6224,17.0489,16.0489,5.9798,22.0287
25.7704,16.9991,15.9992,5.9795,21.9787
25.9193,16.9494,15.9494,5.9793,21.9287
26.0691,16.8996,15.8997,5.9791,21.8788
26.2197,16.8498,15.8500,5.9788,21.8288
26.3712,16.8000,15.8003,5.9786,21.7789
26.5236,16.7502,15.7506,5.9783,21.7289
26.6768,16.7004,15.7009,5.9781,21.6789
26.8310,16.6507,15.6512,5.9778,21.6290
26.9860,16.6009,15.6015,5.9776,21.5790
27.1419,16.5511,15.5518,5.9773,21.5291
27.2987,16.5014,15.5021,5.9770,21.4791
27.4565,16.4516,15.4524,5.9768,21.4292
27.6151,16.4019,15.4027,5.9765,21.3792
27.7747,16.3521,15.3530,5.9762,21.3293
27.9351,16.3024,15.3034,5.9760,21.2793
28.0966,16.2526,15.2537,5.9757,21.2294
28.2589,16.2029,15.2040,5.9754,21.1794
28.4222,16.1531,15.1544,5.9751,21.1295
28.5864,16.1034,15.1047,5.9748,21.0795
28.7516,16.0537,15.0550,5.9745,21.0296
28.9177,16.0039,15.0054,5.9742,20.9796
29.0848,15.9542,14.9558,5.9739,20.9297
29.2528,15.9045,14.9061,5.9736,20.8798
29.4218,15.8548,14.8565,5.9733,20.8298
29.5918,15.8050,14.8068,5.9730,20.7799
29.7628,15.7553,14.7572,5.9727,20.7300
29.9348,15.7056,14.7076,5.9724,20.6800
30.1077,15.6559,14.6580,5.9721,20.6301
30.2817,15.6062,14.6084,5.9718,20.5801
30.4567,15.5565,14.5588,5.9714,20.5302
30.6326,15.5068,14.5092,5.9711,20.4803
30.8096,15.4571,14.4596,5.9708,20.4304
30.9876,15.4075,14.4100,5.9704,20.3804
31.1667,15.3578,14.3604,5.9701,20.3305
31.3468,15.3081,14.3108,5.9698,20.2806
31.5279,15.2584,14.2612,5.9694,20.2307
31.7100,15.2088,14.2117,5.9691,20.1807
31.8933,15.1591,14.1621,5.9687,20.1308
32.0775,15.1094,14.1125,5.9683,20.0809
32.2629,15.0598,14.0630,5.9680,20.0310
32.4493,15.0101,14.0134,5.9676,19.9811
