freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
15.000,-0.0009,-16.2594,-80.0009,161.7958,-153.6655,178.0552,-0.0017,-16.2592
15.090,-0.0009,-16.3579,-79.7924,161.6856,-153.4570,178.0435,-0.0018,-16.3577
15.181,-0.0009,-16.4570,-79.5839,161.5747,-153.2485,178.0317,-0.0018,-16.4568
15.272,-0.0009,-16.5568,-79.3754,161.4631,-153.0400,178.0199,-0.0019,-16.5565
15.364,-0.0010,-16.6571,-79.1669,161.3509,-152.8315,178.0080,-0.0019,-16.6569
15.457,-0.0010,-16.7581,-78.9585,161.2379,-152.6230,177.9960,-0.0020,-16.7578
15.550,-0.0010,-16.8596,-78.7500,161.1243,-152.4145,177.9839,-0.0020,-16.8594
15.644,-0.0010,-16.9618,-78.5415,161.0099,-152.2060,177.9718,-0.0021,-16.9616
15.738,-0.0011,-17.0647,-78.3330,160.8949,-151.9975,177.9596,-0.0021,-17.0644
15.832,-0.0011,-17.1681,-78.1246,160.7791,-151.7890,177.9473,-0.0022,-17.1679
15.928,-0.0011,-17.2722,-77.9161,160.6627,-151.5805,177.9349,-0.0022,-17.2720
16.024,-0.0011,-17.3770,-77.7076,160.5455,-151.3720,177.9225,-0.0023,-17.3767
16.120,-0.0012,-17.4824,-77.4991,160.4276,-151.1635,177.9100,-0.0023,-17.4821
16.217,-0.0012,-17.5884,-77.2906,160.3090,-150.9550,177.8974,-0.0024,-17.5881
16.315,-0.0012,-17.6951,-77.0822,160.1897,-150.7465,177.8848,-0.0024,-17.6948
16.413,-0.0012,-17.8024,-76.8737,160.0696,-150.5380,177.8720,-0.0025,-17.8021
16.512,-0.0013,-17.9104,-76.6652,159.9488,-150.3295,177.8592,-0.0025,-17.9101
16.611,-0.0013,-18.0191,-76.4568,159.8272,-150.1209,177.8463,-0.0026,-18.0188
16.711,-0.0013,-18.1284,-76.2483,159.7049,-149.9124,177.8334,-0.0027,-18.1281
16.812,-0.0014,-18.2385,-76.0398,159.5819,-149.7039,177.8203,-0.0027,-18.2381
16.913,-0.0014,-18.3491,-75.8313,159.4580,-149.4954,177.8072,-0.0028,-18.3488
17.015,-0.0014,-18.4605,-75.6229,159.3335,-149.2869,177.7940,-0.0029,-18.4602
17.117,-0.0015,-18.5726,-75.4144,159.2081,-149.0784,177.7807,-0.0029,-18.5722
17.220,-0.0015,-18.6853,-75.2059,159.0820,-148.8699,177.7673,-0.0030,-18.6849
17.324,-0.0015,-18.7988,-74.9975,158.9551,-148.6614,177.7539,-0.0031,-18.7984
17.428,-0.0016,-18.9129,-74.7890,158.8275,-148.4529,177.7404,-0.0032,-18.9125
17.533,-0.0016,-19.0278,-74.5805,158.6990,-148.2444,177.7268,-0.0032,-19.0274
17.638,-0.0017,-19.1433,-74.3721,158.5698,-148.0359,177.7131,-0.0033,-19.1429
17.745,-0.0017,-19.2596,-74.1636,158.4397,-147.8274,177.6993,-0.0034,-19.2592
17.851,-0.0017,-19.3766,-73.9552,158.3089,-147.6189,177.6855,-0.0035,-19.3762
17.959,-0.0018,-19.4943,-73.7467,158.1772,-147.4104,177.6715,-0.0036,-19.4939
18.067,-0.0018,-19.6128,-73.5382,158.0447,-147.2019,177.6575,-0.0037,-19.6123
18.176,-0.0019,-19.7320,-73.3298,157.9115,-146.9934,177.6434,-0.0037,-19.7315
18.285,-0.0019,-19.8519,-73.1213,157.7774,-146.7849,177.6292,-0.0038,-19.8514
18.395,-0.0020,-19.9725,-72.9129,157.6424,-146.5764,177.6150,-0.0039,-19.9720
18.506,-0.0020,-20.0940,-72.7044,157.5067,-146.3679,177.6006,-0.0040,-20.0934
18.617,-0.0021,-20.2161,-72.4960,157.3701,-146.1594,177.5862,-0.0041,-20.2155
18.729,-0.0021,-20.3390,-72.2875,157.2326,-145.9509,177.5716,-0.0042,-20.3384
18.842,-0.0022,-20.4627,-72.0790,157.0943,-145.7424,177.5570,-0.0043,-20.4621
18.956,-0.0022,-20.5872,-71.8706,156.9552,-145.5339,177.5423,-0.0044,-20.5865
19.070,-0.0023,-20.7124,-71.6621,156.8151,-145.3254,177.5275,-0.0045,-20.7117
19.184,-0.0023,-20.8384,-71.4537,156.6743,-145.1169,177.5126,-0.0046,-20.8377
19.300,-0.0024,-20.9651,-71.2453,156.5325,-144.9084,177.4977,-0.0048,-20.9645
19.416,-0.0024,-21.0927,-71.0368,156.3899,-144.6999,177.4826,-0.0049,-21.0920
19.533,-0.0025,-21.2211,-70.8284,156.2464,-144.4914,177.4674,-0.0050,-21.2203
19.651,-0.0026,-21.3502,-70.6199,156.1020,-144.2829,177.4522,-0.0051,-21.3495
19.769,-0.0026,-21.4802,-70.4115,155.9567,-144.0744,177.4368,-0.0052,-21.4794
19.888,-0.0027,-21.6109,-70.2030,155.8105,-143.8659,177.4214,-0.0054,-21.6101
20.008,-0.0027,-21.7425,-69.9946,155.6634,-143.6574,177.4059,-0.0055,-21.7417
20.128,-0.0028,-21.8749,-69.7862,155.5154,-143.4489,177.3903,-0.0056,-21.8741
20.249,-0.0029,-22.0081,-69.5777,155.3664,-143.2404,177.3746,-0.0058,-22.0073
20.371,-0.0030,-22.1422,-69.3693,155.2166,-143.0318,177.3588,-0.0059,-22.1413
20.494,-0.0030,-22.2771,-69.1609,155.0658,-142.8233,177.3429,-0.0061,-22.2761
20.617,-0.0031,-22.4128,-68.9524,154.9141,-142.6148,177.3269,-0.0062,-22.4118
20.741,-0.0032,-22.5494,-68.7440,154.7614,-142.4063,177.3108,-0.0063,-22.5484
20.866,-0.0033,-22.6868,-68.5356,154.6078,-142.1978,177.2946,-0.0065,-22.6858
20.991,-0.0033,-22.8251,-68.3272,154.4532,-141.9893,177.2783,-0.0067,-22.8240
21.118,-0.0034,-22.9642,-68.1187,154.2977,-141.7808,177.2619,-0.0068,-22.9631
21.245,-0.0035,-23.1042,-67.9103,154.1412,-141.5723,177.2454,-0.0070,-23.1031
21.373,-0.0036,-23.2451,-67.7019,153.9837,-141.3638,177.2288,-0.0072,-23.2440
21.501,-0.0037,-23.3869,-67.4935,153.8253,-141.1553,177.2122,-0.0073,-23.3857
21.631,-0.0038,-23.5295,-67.2851,153.6658,-140.9468,177.1954,-0.0075,-23.5283
21.761,-0.0038,-23.6731,-67.0767,153.5054,-140.7383,177.1785,-0.0077,-23.6718
21.892,-0.0039,-23.8175,-66.8683,153.3440,-140.5298,177.1615,-0.0079,-23.8162
22.024,-0.0040,-23.9629,-66.6598,153.1815,-140.3213,177.1444,-0.0081,-23.9616
22.156,-0.0041,-24.1091,-66.4514,153.0181,-140.1128,177.1272,-0.0083,-24.1078
22.290,-0.0042,-24.2563,-66.2430,152.8536,-139.9043,177.1099,-0.0085,-24.2549
22.424,-0.0043,-24.4044,-66.0346,152.6881,-139.6958,177.0925,-0.0087,-24.4030
22.559,-0.0044,-24.5534,-65.8262,152.5216,-139.4873,177.0750,-0.0089,-24.5519
22.695,-0.0046,-24.7034,-65.6178,152.3540,-139.2788,177.0574,-0.0091,-24.7019
22.831,-0.0047,-24.8543,-65.4095,152.1854,-139.0703,177.0397,-0.0093,-24.8527
22.969,-0.0048,-25.0062,-65.2011,152.0157,-138.8618,177.0219,-0.0095,-25.0045
