fc_hz,filter,dip_db,ripple_db,rms_db,maxdev_db,18w_headroom_db,12sw_ka
200,BW4,0.43,2.09,0.67,1.72,27.9,0.46
180,BW4,0.16,3.20,0.74,1.88,27.0,0.42
180,LR2,0.32,3.12,0.84,1.88,27.0,0.42
180,BW2,0.32,3.12,0.84,1.88,27.0,0.42
160,BW4,-0.26,4.48,0.86,2.08,25.9,0.37
160,LR2,0.21,4.18,0.87,2.25,25.9,0.37
160,BW2,0.21,4.18,0.87,2.25,25.9,0.37
200,LR2,0.16,2.24,0.87,2.06,27.9,0.46
200,BW2,0.17,2.24,0.87,2.06,27.9,0.46
150,LR2,0.12,4.67,0.90,2.46,25.4,0.35
150,BW2,0.12,4.67,0.90,2.46,25.4,0.35
80,LR4,-0.46,4.59,0.92,2.24,19.9,0.19
90,LR4,-1.28,5.63,0.92,2.24,20.9,0.21
100,LR4,-1.51,6.01,0.93,2.25,21.9,0.23
110,LR4,-1.52,6.16,0.93,2.26,22.7,0.26
140,LR2,0.02,5.22,0.93,2.68,24.8,0.32
140,BW2,0.02,5.22,0.93,2.68,24.8,0.32
150,BW4,-0.45,5.09,0.93,2.21,25.4,0.35
120,LR4,-1.53,6.27,0.93,2.26,23.4,0.28
130,LR4,-1.53,6.34,0.94,2.28,24.1,0.30
140,LR4,-1.54,6.18,0.94,2.29,24.8,0.32
150,LR4,-1.56,5.75,0.95,2.30,25.4,0.35
160,LR4,-1.57,5.37,0.95,2.31,25.9,0.37
180,LR4,-1.60,4.59,0.95,2.34,27.0,0.42
200,LR4,-1.63,3.86,0.96,2.37,27.9,0.46
130,LR2,-0.09,5.69,0.97,2.90,24.1,0.30
130,BW2,-0.09,5.69,0.97,2.90,24.1,0.30
120,LR2,-0.16,5.96,1.00,3.12,23.4,0.28
120,BW2,-0.16,5.96,1.00,3.12,23.4,0.28
140,BW4,-0.62,5.72,1.01,2.37,24.8,0.32
80,LR2,0.97,5.45,1.03,3.61,19.9,0.19
80,BW2,0.97,5.46,1.03,3.61,19.9,0.19
110,LR2,-0.23,6.23,1.03,3.33,22.7,0.26
110,BW2,-0.23,6.23,1.03,3.33,22.7,0.26
90,LR2,0.11,6.23,1.05,3.61,20.9,0.21
90,BW2,0.11,6.23,1.05,3.61,20.9,0.21
100,LR2,-0.12,6.30,1.05,3.50,21.9,0.23
100,BW2,-0.12,6.31,1.05,3.50,21.9,0.23
130,BW4,-0.79,6.16,1.07,2.58,24.1,0.30
80,BW4,0.05,6.54,1.09,3.82,19.9,0.19
120,BW4,-0.93,6.44,1.13,2.84,23.4,0.28
90,BW4,-0.77,7.06,1.15,3.83,20.9,0.21
110,BW4,-1.03,6.74,1.17,3.17,22.7,0.26
100,BW4,-0.93,6.91,1.18,3.53,21.9,0.23
