theta_deg,f200Hz_dB,f499Hz_dB,f996Hz_dB,f1991Hz_dB,f4015Hz_dB,f8021Hz_dB,f16026Hz_dB
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,-0.0022,-0.0092,-0.0291,0.1029,-0.0990,-0.9432,-3.8553
20,-0.0084,-0.0356,-0.1129,0.4792,-0.2190,-2.8036,-3.7326
30,-0.0180,-0.0761,-0.2415,1.3399,0.1635,-1.9905,-2.0540
40,-0.0298,-0.1258,-0.3997,3.0578,1.7996,1.1476,0.7876
50,-0.0424,-0.1789,-0.5686,6.1875,5.3594,5.1633,5.0816
60,-0.0542,-0.2288,-0.7278,11.5272,11.3538,11.3927,11.3933
70,-0.0638,-0.2696,-0.8579,20.4880,20.8566,20.9037,20.8870
80,-0.0700,-0.2962,-0.9430,37.2614,37.8435,37.8815,37.8807
90,-0.0722,-0.3055,-0.9725,929.4568,930.0701,930.1082,930.1106
100,-0.0700,-0.2962,-0.9430,nan,nan,nan,nan
110,-0.0638,-0.2696,-0.8579,nan,nan,nan,nan
120,-0.0542,-0.2288,-0.7278,nan,nan,nan,nan
130,-0.0424,-0.1789,-0.5686,nan,nan,nan,nan
140,-0.0298,-0.1258,-0.3997,nan,nan,nan,nan
150,-0.0180,-0.0761,-0.2415,nan,nan,nan,nan
160,-0.0084,-0.0356,-0.1129,nan,nan,nan,nan
170,-0.0022,-0.0092,-0.0291,nan,nan,nan,nan
180,0.0000,0.0000,0.0000,nan,nan,nan,nan
