freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
200.000,0.0057,-0.0039,-0.0545,-0.0302,0.0359,-0.0122
201.854,0.0059,-0.0037,-0.0549,-0.0303,0.0362,-0.0122
203.726,0.0061,-0.0036,-0.0552,-0.0304,0.0366,-0.0121
205.615,0.0064,-0.0035,-0.0556,-0.0306,0.0369,-0.0121
207.521,0.0066,-0.0033,-0.0560,-0.0307,0.0373,-0.0120
209.445,0.0068,-0.0032,-0.0563,-0.0308,0.0377,-0.0120
211.387,0.0071,-0.0030,-0.0567,-0.0309,0.0380,-0.0119
213.347,0.0074,-0.0029,-0.0571,-0.0311,0.0384,-0.0118
215.325,0.0076,-0.0027,-0.0575,-0.0312,0.0388,-0.0117
217.321,0.0079,-0.0025,-0.0579,-0.0313,0.0392,-0.0116
219.336,0.0082,-0.0023,-0.0583,-0.0314,0.0397,-0.0116
221.370,0.0085,-0.0021,-0.0587,-0.0315,0.0401,-0.0115
223.422,0.0089,-0.0019,-0.0591,-0.0317,0.0405,-0.0114
225.494,0.0092,-0.0017,-0.0595,-0.0318,0.0410,-0.0112
227.584,0.0095,-0.0015,-0.0600,-0.0319,0.0414,-0.0111
229.694,0.0099,-0.0013,-0.0604,-0.0320,0.0419,-0.0110
231.824,0.0103,-0.0010,-0.0608,-0.0321,0.0423,-0.0109
233.973,0.0106,-0.0008,-0.0612,-0.0322,0.0428,-0.0107
236.143,0.0110,-0.0005,-0.0617,-0.0323,0.0433,-0.0106
238.332,0.0115,-0.0002,-0.0621,-0.0324,0.0438,-0.0104
240.542,0.0119,0.0001,-0.0626,-0.0325,0.0444,-0.0102
242.772,0.0123,0.0004,-0.0630,-0.0326,0.0449,-0.0101
245.023,0.0128,0.0007,-0.0635,-0.0327,0.0454,-0.0099
247.294,0.0133,0.0010,-0.0639,-0.0327,0.0460,-0.0097
249.587,0.0138,0.0014,-0.0644,-0.0328,0.0466,-0.0095
251.901,0.0143,0.0017,-0.0649,-0.0329,0.0472,-0.0092
254.237,0.0148,0.0021,-0.0653,-0.0329,0.0478,-0.0090
256.594,0.0154,0.0025,-0.0658,-0.0330,0.0484,-0.0087
258.973,0.0160,0.0029,-0.0663,-0.0330,0.0490,-0.0085
261.374,0.0166,0.0033,-0.0668,-0.0331,0.0496,-0.0082
263.797,0.0172,0.0038,-0.0672,-0.0331,0.0503,-0.0079
266.243,0.0178,0.0042,-0.0677,-0.0332,0.0510,-0.0076
268.712,0.0185,0.0047,-0.0682,-0.0332,0.0517,-0.0073
271.203,0.0192,0.0052,-0.0687,-0.0332,0.0524,-0.0069
273.717,0.0199,0.0058,-0.0692,-0.0332,0.0531,-0.0066
276.255,0.0206,0.0063,-0.0697,-0.0332,0.0538,-0.0062
278.817,0.0214,0.0069,-0.0702,-0.0331,0.0546,-0.0058
281.402,0.0222,0.0075,-0.0707,-0.0331,0.0553,-0.0054
284.011,0.0231,0.0081,-0.0712,-0.0331,0.0561,-0.0049
286.644,0.0239,0.0088,-0.0716,-0.0330,0.0569,-0.0045
289.301,0.0248,0.0094,-0.0721,-0.0329,0.0577,-0.0040
291.984,0.0257,0.0101,-0.0726,-0.0328,0.0586,-0.0035
294.691,0.0267,0.0109,-0.0731,-0.0327,0.0594,-0.0029
297.423,0.0277,0.0116,-0.0736,-0.0326,0.0603,-0.0023
300.181,0.0287,0.0124,-0.0740,-0.0325,0.0612,-0.0018
302.964,0.0298,0.0133,-0.0745,-0.0323,0.0621,-0.0011
305.773,0.0309,0.0141,-0.0750,-0.0321,0.0631,-0.0005
308.608,0.0321,0.0150,-0.0754,-0.0319,0.0640,0.0002
311.469,0.0333,0.0160,-0.0759,-0.0317,0.0650,0.0009
314.357,0.0345,0.0170,-0.0763,-0.0315,0.0660,0.0017
317.271,0.0358,0.0180,-0.0767,-0.0312,0.0670,0.0024
320.213,0.0372,0.0190,-0.0771,-0.0309,0.0681,0.0033
323.182,0.0386,0.0201,-0.0775,-0.0306,0.0691,0.0041
326.178,0.0400,0.0213,-0.0779,-0.0302,0.0702,0.0050
329.202,0.0415,0.0225,-0.0783,-0.0298,0.0713,0.0060
