freq_Hz,woofer_dB,mid_dB,tweeter_raw_dB,tweeter_trimmed_dB,system_sum_raw_dB,system_sum_matched_dB
18.000,72.7698,16.0327,-152.4344,-159.4344,72.7824,72.7824
18.071,72.8297,16.1700,-152.2078,-159.2078,72.8424,72.8424
18.143,72.8895,16.3072,-151.9810,-158.9810,72.9024,72.9024
18.215,72.9493,16.4445,-151.7542,-158.7542,72.9622,72.9622
18.287,73.0089,16.5817,-151.5272,-158.5272,73.0220,73.0220
18.359,73.0685,16.7190,-151.3002,-158.3002,73.0817,73.0817
18.432,73.1280,16.8562,-151.0730,-158.0730,73.1413,73.1413
18.505,73.1874,16.9935,-150.8458,-157.8458,73.2008,73.2008
18.578,73.2467,17.1307,-150.6184,-157.6184,73.2603,73.2603
18.652,73.3059,17.2680,-150.3910,-157.3910,73.3196,73.3196
18.725,73.3651,17.4052,-150.1635,-157.1635,73.3789,73.3789
18.800,73.4241,17.5425,-149.9358,-156.9358,73.4380,73.4380
18.874,73.4830,17.6797,-149.7081,-156.7081,73.4971,73.4971
18.949,73.5419,17.8170,-149.4803,-156.4803,73.5561,73.5561
19.024,73.6006,17.9542,-149.2524,-156.2524,73.6150,73.6150
19.099,73.6593,18.0915,-149.0244,-156.0244,73.6738,73.6738
19.175,73.7179,18.2287,-148.7963,-155.7963,73.7325,73.7325
19.251,73.7763,18.3660,-148.5681,-155.5681,73.7911,73.7911
19.327,73.8347,18.5032,-148.3399,-155.3399,73.8496,73.8496
19.403,73.8930,18.6404,-148.1115,-155.1115,73.9080,73.9080
19.480,73.9511,18.7777,-147.8831,-154.8831,73.9663,73.9663
19.557,74.0092,18.9149,-147.6545,-154.6545,74.0245,74.0245
19.635,74.0672,19.0522,-147.4259,-154.4259,74.0826,74.0826
19.712,74.1251,19.1894,-147.1972,-154.1972,74.1406,74.1406
19.791,74.1828,19.3267,-146.9685,-153.9685,74.1985,74.1985
19.869,74.2405,19.4639,-146.7396,-153.7396,74.2563,74.2563
19.948,74.2980,19.6011,-146.5107,-153.5107,74.3140,74.3140
20.027,74.3555,19.7384,-146.2816,-153.2816,74.3716,74.3716
20.106,74.4128,19.8756,-146.0525,-153.0525,74.4291,74.4291
20.185,74.4700,20.0129,-145.8234,-152.8234,74.4865,74.4865
20.265,74.5272,20.1501,-145.5941,-152.5941,74.5437,74.5437
20.346,74.5842,20.2873,-145.3648,-152.3648,74.6009,74.6009
20.426,74.6411,20.4246,-145.1353,-152.1353,74.6580,74.6580
20.507,74.6979,20.5618,-144.9058,-151.9058,74.7149,74.7149
20.588,74.7545,20.6990,-144.6763,-151.6763,74.7717,74.7717
20.670,74.8111,20.8363,-144.4466,-151.4466,74.8285,74.8285
20.752,74.8675,20.9735,-144.2169,-151.2169,74.8851,74.8851
20.834,74.9239,21.1107,-143.9871,-150.9871,74.9416,74.9416
20.916,74.9801,21.2480,-143.7573,-150.7573,74.9979,74.9979
20.999,75.0362,21.3852,-143.5273,-150.5273,75.0542,75.0542
21.082,75.0922,21.5224,-143.2973,-150.2973,75.1104,75.1104
21.166,75.1480,21.6597,-143.0673,-150.0673,75.1664,75.1664
21.249,75.2038,21.7969,-142.8371,-149.8371,75.2223,75.2223
21.333,75.2594,21.9341,-142.6069,-149.6069,75.2781,75.2781
21.418,75.3149,22.0713,-142.3766,-149.3766,75.3338,75.3338
21.503,75.3703,22.2086,-142.1463,-149.1463,75.3893,75.3893
21.588,75.4255,22.3458,-141.9158,-148.9158,75.4448,75.4448
21.673,75.4806,22.4830,-141.6853,-148.6853,75.5001,75.5001
21.759,75.5356,22.6202,-141.4548,-148.4548,75.5552,75.5552
21.845,75.5905,22.7575,-141.2242,-148.2242,75.6103,75.6103
21.932,75.6452,22.8947,-140.9935,-147.9935,75.6652,75.6652
22.019,75.6998,23.0319,-140.7628,-147.7628,75.7200,75.7200
22.106,75.7543,23.1691,-140.5319,-147.5319,75.7747,75.7747
22.193,75.8087,23.3063,-140.3011,-147.3011,75.8292,75.8292
22.281,75.8629,23.4436,-140.0701,-147.0701,75.8837,75.8837
22.369,75.9170,23.5808,-139.8391,-146.8391,75.9379,75.9379
22.458,75.9709,23.7180,-139.6081,-146.6081,75.9921,75.9921
22.547,76.0247,23.8552,-139.3770,-146.3770,76.0461,76.0461
22.636,76.0784,23.9924,-139.1458,-146.1458,76.1000,76.1000
22.726,76.1320,24.1296,-138.9146,-145.9146,76.1537,76.1537
22.816,76.1854,24.2668,-138.6833,-145.6833,76.2074,76.2074
