freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
20.00,-19.5790,-101.1624,-198.2898,-19.5782
20.07,-19.4933,-101.0404,-198.1681,-19.4925
20.14,-19.4078,-100.9184,-198.0463,-19.4071
20.21,-19.3225,-100.7964,-197.9246,-19.3218
20.28,-19.2375,-100.6744,-197.8029,-19.2368
20.35,-19.1527,-100.5524,-197.6812,-19.1519
20.42,-19.0681,-100.4304,-197.5595,-19.0674
20.50,-18.9837,-100.3084,-197.4378,-18.9830
20.57,-18.8996,-100.1864,-197.3161,-18.8988
20.64,-18.8157,-100.0644,-197.1943,-18.8149
20.71,-18.7320,-99.9424,-197.0726,-18.7312
20.79,-18.6485,-99.8204,-196.9509,-18.6477
20.86,-18.5653,-99.6984,-196.8292,-18.5645
20.93,-18.4822,-99.5764,-196.7075,-18.4815
21.01,-18.3994,-99.4544,-196.5858,-18.3986
21.08,-18.3168,-99.3323,-196.4640,-18.3161
21.15,-18.2345,-99.2103,-196.3423,-18.2337
21.23,-18.1523,-99.0439,-196.2206,-18.1515
21.30,-18.0704,-98.8332,-196.0989,-18.0696
21.38,-17.9887,-98.6222,-195.9772,-17.9879
21.45,-17.9072,-98.4108,-195.8555,-17.9064
21.53,-17.8259,-98.1992,-195.7338,-17.8251
21.60,-17.7449,-97.9872,-195.6120,-17.7441
21.68,-17.6641,-97.7749,-195.4903,-17.6632
21.75,-17.5835,-97.5623,-195.3686,-17.5826
21.83,-17.5031,-97.3494,-195.2469,-17.5022
21.91,-17.4229,-97.1362,-195.1252,-17.4220
21.98,-17.3430,-96.9226,-195.0035,-17.3421
22.06,-17.2632,-96.7087,-194.8817,-17.2623
22.14,-17.1837,-96.4945,-194.7600,-17.1828
22.22,-17.1044,-96.2799,-194.6383,-17.1035
22.29,-17.0254,-96.0651,-194.5166,-17.0244
22.37,-16.9465,-95.8499,-194.3949,-16.9455
22.45,-16.8679,-95.6345,-194.2732,-16.8669
22.53,-16.7895,-95.4295,-194.1514,-16.7884
22.61,-16.7113,-95.2242,-194.0297,-16.7102
22.69,-16.6333,-95.0186,-193.9080,-16.6322
22.77,-16.5555,-94.8127,-193.7863,-16.5544
22.85,-16.4780,-94.6066,-193.6646,-16.4769
22.93,-16.4006,-94.4001,-193.5429,-16.3995
23.01,-16.3235,-94.1933,-193.4212,-16.3224
23.09,-16.2466,-93.9863,-193.2994,-16.2455
23.17,-16.1699,-93.7789,-193.1777,-16.1688
23.25,-16.0934,-93.5712,-193.0560,-16.0923
23.33,-16.0172,-93.3632,-192.9343,-16.0160
23.42,-15.9411,-93.1549,-192.8126,-15.9400
23.50,-15.8653,-92.9464,-192.6909,-15.8641
23.58,-15.7897,-92.7375,-192.5691,-15.7885
23.66,-15.7143,-92.5283,-192.4474,-15.7131
23.75,-15.6391,-92.3188,-192.3257,-15.6379
23.83,-15.5642,-92.1328,-192.2040,-15.5629
23.91,-15.4894,-91.9636,-192.0823,-15.4881
24.00,-15.4149,-91.7942,-191.9606,-15.4136
24.08,-15.3406,-91.6247,-191.8388,-15.3393
24.17,-15.2665,-91.4550,-191.7171,-15.2651
24.25,-15.1926,-91.2851,-191.5954,-15.1912
24.34,-15.1189,-91.1150,-191.4737,-15.1175
24.42,-15.0455,-90.9448,-191.3520,-15.0441
24.51,-14.9722,-90.7744,-191.2303,-14.9708
24.59,-14.8992,-90.6038,-191.1085,-14.8978
24.68,-14.8264,-90.4331,-190.9868,-14.8249
24.77,-14.7538,-90.2621,-190.8651,-14.7523
24.85,-14.6814,-90.0910,-190.7434,-14.6799
24.94,-14.6092,-89.9198,-190.6217,-14.6077
25.03,-14.5373,-89.7483,-190.5000,-14.5357
25.11,-14.4655,-89.5767,-190.3783,-14.4640
25.20,-14.3940,-89.4073,-190.2565,-14.3924
25.29,-14.3227,-89.3146,-190.1348,-14.3211
25.38,-14.2516,-89.2221,-190.0131,-14.2500
25.47,-14.1807,-89.1296,-189.8914,-14.1792
25.56,-14.1100,-89.0372,-189.7697,-14.1085
25.65,-14.0396,-88.9450,-189.6480,-14.0380
25.74,-13.9694,-88.8528,-189.5262,-13.9678
25.83,-13.8993,-88.7608,-189.4045,-13.8978
25.92,-13.8295,-88.6688,-189.2828,-13.8280
26.01,-13.7600,-88.5770,-189.1611,-13.7584
26.10,-13.6906,-88.4852,-189.0394,-13.6890
26.19,-13.6214,-88.3936,-188.9177,-13.6199
26.28,-13.5525,-88.3020,-188.7959,-13.5509
26.38,-13.4838,-88.2106,-188.6742,-13.4822
26.47,-13.4153,-88.1193,-188.5525,-13.4137
26.56,-13.3470,-88.0281,-188.4308,-13.3454
26.66,-13.2790,-87.9369,-188.3091,-13.2774
26.75,-13.2111,-87.8544,-188.1874,-13.2095
26.84,-13.1435,-87.7798,-188.0656,-13.1419
26.94,-13.0761,-87.7053,-187.9439,-13.0745
27.03,-13.0089,-87.6309,-187.8222,-13.0073
27.13,-12.9420,-87.5567,-187.7005,-12.9404
27.22,-12.8752,-87.4827,-187.5788,-12.8736
27.32,-12.8087,-87.4089,-187.4571,-12.8071
27.41,-12.7424,-87.3352,-187.3353,-12.7408
27.51,-12.6763,-87.2617,-187.2136,-12.6747
27.61,-12.6105,-87.1884,-187.0919,-12.6089
27.70,-12.5449,-87.1152,-186.9702,-12.5433
27.80,-12.4795,-87.0422,-186.8485,-12.4779
27.90,-12.4143,-86.9693,-186.7268,-12.4127
28.00,-12.3494,-86.8967,-186.6051,-12.3477
28.09,-12.2846,-86.8242,-186.4833,-12.2830
28.19,-12.2201,-86.7519,-186.3616,-12.2185
28.29,-12.1559,-86.6658,-186.2399,-12.1542
28.39,-12.0918,-86.4731,-186.1182,-12.0902
28.49,-12.0280,-86.2801,-185.9965,-12.0263
28.59,-11.9644,-86.0868,-185.8748,-11.9627
28.69,-11.9011,-85.8933,-185.7530,-11.8993
28.79,-11.8380,-85.6996,-185.6313,-11.8362
28.89,-11.7751,-85.5055,-185.5096,-11.7733
28.99,-11.7124,-85.3113,-185.3879,-11.7106
29.10,-11.6500,-85.1167,-185.2662,-11.6481
29.20,-11.5878,-84.9220,-185.1445,-11.5859
29.30,-11.5258,-84.7269,-185.0227,-11.5239
29.40,-11.4641,-84.5316,-184.9010,-11.4622
29.51,-11.4026,-84.3360,-184.7793,-11.4007
29.61,-11.3414,-84.1402,-184.6576,-11.3394
29.71,-11.2804,-83.9441,-184.5359,-11.2784
29.82,-11.2196,-83.7478,-184.4142,-11.2176
29.92,-11.1591,-83.5512,-184.2924,-11.1570
30.03,-11.0988,-83.3434,-184.1707,-11.0967
30.13,-11.0387,-83.1264,-184.0490,-11.0366
30.24,-10.9789,-82.9090,-183.9273,-10.9767
30.34,-10.9194,-82.6913,-183.8056,-10.9171
30.45,-10.8601,-82.4732,-183.6839,-10.8578
30.56,-10.8010,-82.2548,-183.5621,-10.7987
30.67,-10.7422,-82.0361,-183.4404,-10.7398
30.77,-10.6836,-81.8170,-183.3187,-10.6812
30.88,-10.6253,-81.5976,-183.1970,-10.6228
30.99,-10.5672,-81.3778,-183.0753,-10.5647
31.10,-10.5094,-81.1577,-182.9536,-10.5068
31.21,-10.4518,-80.9373,-182.8318,-10.4492
31.32,-10.3945,-80.7164,-182.7101,-10.3918
31.43,-10.3374,-80.4953,-182.5884,-10.3347
31.54,-10.2806,-80.2738,-182.4667,-10.2779
31.65,-10.2241,-80.0519,-182.3450,-10.2213
31.76,-10.1678,-79.8306,-182.2233,-10.1649
31.87,-10.1117,-79.6198,-182.1015,-10.1088
31.98,-10.0559,-79.4086,-181.9798,-10.0530
32.09,-10.0004,-79.1971,-181.8581,-9.9974
32.21,-9.9452,-78.9853,-181.7364,-9.9421
32.32,-9.8902,-78.7732,-181.6147,-9.8870
32.43,-9.8354,-78.5608,-181.4930,-9.8322
32.55,-9.7809,-78.3480,-181.3713,-9.7777
32.66,-9.7267,-78.1350,-181.2495,-9.7234
32.78,-9.6728,-77.9216,-181.1278,-9.6694
