freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
20.00,-19.5782,-10.5782,-10.5782,3.0129,9.0000,-0.0000,9.0000,3.3654,13.9436,13.5911,-19.5790,-101.1624,-198.2898
20.07,-19.4925,-10.4925,-10.4925,3.0549,9.0000,-0.0000,9.0000,3.3645,13.8570,13.5474,-19.4933,-101.0404,-198.1681
20.14,-19.4071,-10.4071,-10.4071,3.0941,9.0000,-0.0000,9.0000,3.3636,13.7706,13.5012,-19.4078,-100.9184,-198.0463
20.21,-19.3218,-10.3218,-10.3218,3.1306,9.0000,-0.0000,9.0000,3.3626,13.6844,13.4524,-19.3225,-100.7964,-197.9246
20.28,-19.2368,-10.2368,-10.2368,3.1644,9.0000,-0.0000,9.0000,3.3617,13.5985,13.4012,-19.2375,-100.6744,-197.8029
20.35,-19.1519,-10.1519,-10.1519,3.1955,9.0000,-0.0000,9.0000,3.3608,13.5127,13.3474,-19.1527,-100.5524,-197.6812
20.42,-19.0674,-10.0674,-10.0674,3.2238,9.0000,-0.0000,9.0000,3.3598,13.4272,13.2912,-19.0681,-100.4304,-197.5595
20.50,-18.9830,-9.9830,-9.9830,3.2495,9.0000,-0.0000,9.0000,3.3589,13.3419,13.2325,-18.9837,-100.3084,-197.4378
20.57,-18.8988,-9.8988,-9.8988,3.2724,9.0000,-0.0000,9.0000,3.3579,13.2568,13.1713,-18.8996,-100.1864,-197.3161
20.64,-18.8149,-9.8149,-9.8149,3.2927,9.0000,-0.0000,9.0000,3.3570,13.1719,13.1076,-18.8157,-100.0644,-197.1943
20.71,-18.7312,-9.7312,-9.7312,3.3103,9.0000,-0.0000,9.0000,3.3560,13.0872,13.0415,-18.7320,-99.9424,-197.0726
20.79,-18.6477,-9.6477,-9.6477,3.3252,9.0000,-0.0000,9.0000,3.3550,13.0028,12.9729,-18.6485,-99.8204,-196.9509
20.86,-18.5645,-9.5645,-9.5645,3.3374,9.0000,-0.0000,9.0000,3.3541,12.9186,12.9019,-18.5653,-99.6984,-196.8292
